Cluster	Id
0	1517
3	1523
3	1534
0	1539
3	1540
3	1547
0	1548
-1	1544
3	1552
3	1558
3	1560
3	1561
3	1581
2	873
3	1594
3	1601
-1	1605
-1	1492
3	1613
2	1597
2	1515
0	1348
3	1627
2	1625
3	1640
5	1644
6	1651
-1	1654
-1	1655
-1	1672
0	1657
3	1649
3	1678
3	1691
3	1694
3	1699
3	1709
2	1721
2	1724
3	1732
0	1733
3	1734
4	1741
1	1755
2	1784
2	1786
0	1765
3	1796
2	1797
3	1795
-1	1800
0	1806
0	1095
3	1812
5	1808
4	1823
6	1834
3	1836
0	1838
2	1857
3	1869
0	1879
-1	1894
2	1884
3	1897
5	1900
6	1907
3	1926
-1	1918
3	1928
0	1933
0	1951
0	1957
4	1958
4	1959
4	1960
0	1964
2	1898
0	1653
0	1977
0	1912
2	1970
1	1978
3	1983
6	1814
0	1981
1	1993
3	2005
-1	1973
0	2004
3	2025
3	2029
3	2039
6	2065
0	2070
3	2074
-1	2087
0	2089
3	2109
6	2052
4	2129
4	2117
3	2170
2	2121
3	2172
3	2177
3	2190
3	2191
3	2215
-1	1720
3	2247
3	2248
3	2264
3	2302
3	2314
0	2299
0	1562
5	2334
3	2340
0	2359
0	2110
2	2390
4	2393
0	2315
0	2398
2	2356
-1	2408
4	2428
3	2432
4	2433
2	2446
0	2449
3	2450
0	2464
2	2463
4	2453
3	2481
3	2482
4	2483
1	2495
0	2496
3	2506
3	2509
0	2521
3	2527
2	2513
3	2528
6	2531
0	2304
3	2547
3	2551
0	2558
3	2577
3	2579
0	2594
3	2595
3	2596
3	2530
2	1645
3	2613
1	2614
3	2616
0	2538
-1	2646
3	2653
2	2655
2	2663
-1	2118
3	2687
3	1781
2	2587
3	2715
0	2726
5	2723
0	2600
2	2769
0	2312
3	2773
0	2647
0	2775
3	2786
-1	2789
3	2791
3	2797
0	2780
0	2803
0	2654
6	2609
0	2819
3	2820
2	2818
4	2448
3	2785
2	2379
-1	2829
3	2834
2	2844
2	2872
2	2909
3	2927
0	2928
3	2947
2	2971
3	2972
3	2899
4	2976
2	2982
3	2983
3	2985
3	2986
3	2989
5	2772
3	2990
0	2725
2	2980
4	3008
0	3006
2	3021
3	2183
6	2563
3	3028
0	415
-1	3037
2	3041
3	3051
3	3053
-1	1462
3	3064
4	3067
0	2963
0	2777
3	3095
0	3105
-1	3106
5	3110
3	3117
3	3118
3	3124
3	3128
0	2476
0	3107
2	3137
5	3155
0	3113
3	3156
3	3176
2	3175
2	3163
3	3177
2	3178
3	3179
0	2710
2	3199
3	3200
3	2526
5	3211
3	3212
3	3213
0	3214
2	3227
3	3228
3	3266
2	3269
5	3283
3	3284
0	3270
5	3274
1	436
2	3304
3	3305
3	3324
3	3325
1	3209
3	3334
3	3362
2	3363
3	3364
1	3296
3	3393
1	3385
3	3407
0	3413
0	2767
5	3412
3	3424
3	3426
0	3316
5	3435
3	3170
3	3446
3	3447
0	2333
5	3448
3	3457
2	3458
3	3480
2	3486
2	3494
0	3489
2	3328
3	3507
2	3508
2	3514
0	3526
2	3506
-1	3515
3	3532
0	3533
3	3536
2	3300
0	3208
3	3587
3	3594
3	3606
3	3614
5	3615
3	3616
3	3617
2	3618
2	3588
3	3631
5	3632
3	3633
3	3634
3	3635
-1	3648
0	3666
0	1113
2	3577
3	3690
3	3691
3	3692
3	3693
2	3663
5	3696
3	3717
2	3718
1	2431
2	3677
-1	3735
2	3739
4	3740
3	3741
2	3720
3	3742
0	3750
3	3754
3	3773
3	3774
0	3803
3	3805
4	3758
0	3767
3	3811
2	3806
3	3818
3	3819
5	3808
2	3382
3	3835
3	3836
3	3839
0	1938
0	3002
2	3860
3	3890
3	3906
3	3907
3	3908
3	3920
2	3862
3	3979
4	3952
-1	4002
-1	4032
2	4049
0	4011
3	4063
2	3991
4	4064
3	4066
2	4065
4	4067
3	4079
4	4080
3	4093
3	4102
3	4117
3	4127
-1	4113
5	4090
4	3102
2	4206
-1	4210
3	4216
3	4221
0	4251
1	4017
0	4283
1	872
3	4294
-1	4300
0	4320
0	4274
3	4343
3	4349
0	2313
0	4231
2	4364
3	4373
1	4381
0	4334
5	4219
2	4435
3	4436
3	4446
6	4457
0	3414
0	3242
0	4482
0	4434
0	4487
0	3743
3	4498
0	4424
0	4217
3	4542
0	4499
0	4553
2	4555
0	4601
3	4612
0	4518
5	4606
3	4640
5	4641
4	4644
0	4461
3	4671
5	4674
0	3578
0	4645
4	3425
0	3504
3	2413
0	4771
3	4772
4	4767
2	4790
3	4799
0	4511
3	4820
3	4821
0	4787
3	4826
2	4837
0	4554
3	4854
0	4844
0	3172
2	4859
3	4864
3	4865
0	2691
3	4877
3	4878
3	4822
0	4861
0	4883
3	4895
0	4562
3	4889
3	4972
3	4973
0	900
1	4942
0	4709
0	4983
3	5018
3	5019
3	5024
1	3989
3	5020
3	5043
2	5044
6	5045
-1	5056
2	4463
6	5073
3	5090
3	5091
6	4516
3	5095
3	5131
3	5134
3	5135
3	5136
3	5137
3	5140
5	5141
0	5155
2	5156
3	5211
3	5220
3	5229
3	5247
3	5248
0	5227
4	5236
3	5256
3	5265
3	5274
-1	5275
0	5294
3	5351
5	5352
0	5255
0	4642
3	5412
3	5468
3	5474
2	5475
2	5492
0	1648
3	5502
